,game_id,away_score,home_score,total,total_line,result,spread_line,ewma_dynamic_window_rushing_offense_home,ewma_dynamic_window_passing_offense_home,ewma_dynamic_window_rushing_defense_home,ewma_dynamic_window_passing_defense_home,ewma_dynamic_window_rushing_offense_away,ewma_dynamic_window_passing_offense_away,ewma_dynamic_window_rushing_defense_away,ewma_dynamic_window_passing_defense_away,home_spread_hit,over_hit,home_team_win,pred_total,pred_result,pred_hometeam_winner,spread_hit,over_under_hit
4988,2021_16_IND_ARI,22,16,38,48.0,-6.0,3.0,-0.0682860900142539,0.0861750030110939,-0.0982497400054371,0.0099453532651192,0.1249476348748232,0.0129564337843088,-0.0478330188679302,-0.0660146121728305,0,0,0,44.924441967237186,0.03590820237550729,1,1,1
3955,2017_16_MIA_KC,13,29,42,43.5,16.0,11.0,0.0184640187932122,0.0967387319035752,0.0122822775556875,0.0114038486175663,-0.1516004870735187,-0.0738716376537273,-0.0643379136414377,0.0642564896029345,1,0,1,44.828226503314355,7.9476206953680215,1,0,0
65,2000_06_WAS_PHI,17,14,31,37.5,-3.0,-3.5,-0.0733790809774285,-0.0639271097973951,-0.1487215350456897,-0.1929781560946841,-0.0717732684355184,0.0710267094731748,-0.1081486824815905,-0.0944315785469749,1,0,0,40.7641195805838,1.1709570043709912,1,1,0
2520,2011_11_CIN_BAL,24,31,55,39.5,7.0,7.0,-0.0829300991689155,0.0061166417549712,-0.1696388245387493,-0.1451611819276495,-0.1184997175134708,0.0504385732362095,-0.1497003134339859,-0.0336185510162856,99,0,1,41.359922286798934,3.5383358255372324,1,0,1
393,2001_16_KC_JAX,30,26,56,40.0,-4.0,4.5,-0.0748069433849683,0.0627723706021351,-0.212383509326107,0.0107451915396635,0.0006489793015459,0.044836419879064,-0.0659458515250943,0.1203406407736846,0,0,0,44.995152254427175,3.84308421728218,1,1,1
179,2000_16_NE_BUF,13,10,23,39.0,-3.0,4.5,-0.098286567938592,-0.0884250081094653,-0.1101512286323006,-0.0644323205305221,-0.1540395587826051,-0.084239961363671,-0.1524338505333352,0.1261210354004157,0,0,0,40.247519416600234,4.778125596029062,1,0,0
2687,2012_06_IND_NYJ,9,35,44,43.5,26.0,3.5,-0.0678842037158206,-0.1986305628204055,-0.0113498687302612,0.0365412339815234,-0.0828187398439945,-0.0222234563757848,0.0239439835917113,0.034593863647633,1,0,1,42.14110602851819,-1.1402450272431675,0,0,0
1670,2007_13_BUF_WAS,17,16,33,37.0,-1.0,6.5,-0.14664026967774,0.019513865165218,-0.0220614717828481,0.0470282338142273,-0.0882543364035111,-0.1163275114065302,-0.0539414002501188,0.1749776769114812,0,0,0,43.81155557243346,5.410561965345545,1,1,0
333,2001_11_SEA_KC,7,19,26,41.0,12.0,1.5,0.0227332499056972,-0.1082957188676059,-0.0575554490508467,0.082367421454652,-0.0439318594525022,0.06577863109339,-0.0771876484596439,0.1688139197613953,1,0,1,45.38372748576092,-0.10493692364798735,1,0,0
1210,2005_12_BAL_CIN,29,42,71,36.5,13.0,9.0,-0.0028825522528863,0.1692444262400006,0.0446539579647131,-0.0475146244023822,-0.1229320911329022,-0.2098579546645523,-0.1674161393877621,-0.0522408085767044,1,0,1,41.93309972471922,9.50085539800778,1,1,1
2650,2012_03_JAX_IND,22,17,39,41.5,-5.0,3.0,-0.1466549156479749,-0.0554088997565266,-0.039800176622539,0.0587055316673751,-0.1641067381728958,-0.2204350699714578,-0.118997787051429,0.0741701940960089,0,0,0,39.40999822771069,5.0828898609104165,1,0,1
